# Time,Input_meas,Output_meas,Input_sigma,Output_sigma
0.0,0.0017279209603239302,-0.005215444928261877,0.005,0.005
1e-06,1.0082161814350117,0.002318258441167602,0.01,0.005008417508417509
2e-06,1.0033043707618339,0.002242314542256271,0.01,0.005016820845945425
3e-06,0.9869684276839564,0.0015026369330617406,0.01,0.0050252100364404665
4e-06,1.009053558666731,0.0011703734901070849,0.01,0.005033585103719186
4.9999999999999996e-06,1.00446374572364,0.009342765822992058,0.01,0.005041946071558043
6e-06,0.9946304676463972,0.003684225983932159,0.01,0.005050292963693467
7e-06,1.0058111810419634,0.007169239393649814,0.01,0.005058625803821929
8e-06,1.0036457239618608,0.013620192936862995,0.01,0.005066944615600007
9e-06,1.0029413249665553,0.009930209210097836,0.01,0.005075249422644451
9.999999999999999e-06,1.000284222413158,0.016418841510720025,0.01,0.005083540248532255
1.1e-05,1.0054671298661244,0.017525392377819624,0.01,0.0050918171168007195
1.2e-05,0.9926354591299833,0.02245370351007612,0.01,0.0051000800509475195
1.3e-05,0.9983709005200695,0.022535480432871607,0.01,0.005108329074430773
1.4e-05,0.9951788068732003,0.025192843215110502,0.01,0.005116564210669105
1.4999999999999999e-05,1.0059884621263462,0.027671774067618077,0.01,0.005124785483041716
1.6e-05,1.0003972210748167,0.035024060488790094,0.01,0.0051329929148884465
1.7e-05,0.9970754324903491,0.02750781261257954,0.01,0.005141186529509846
1.8e-05,0.9921809153764316,0.017594136914887083,0.01,0.005149366350167238
1.8999999999999998e-05,0.9974280775938112,0.032072231768227884,0.01,0.0051575324000827805
1.9999999999999998e-05,1.0000814218051834,0.029873668001790747,0.01,0.005165684702439544
2.1e-05,0.9972439709470063,0.04444986126190891,0.01,0.0051738232803815645
2.2e-05,1.012940638143982,0.04007386589330668,0.01,0.005181948157013919
2.3e-05,1.010067243153058,0.04394017683569647,0.01,0.005190059355402785
2.4e-05,0.9728883752103403,0.03987989578868385,0.01,0.005198156898575507
2.4999999999999998e-05,0.9811098675403233,0.039294106507796606,0.01,0.005206240809520667
2.6e-05,0.9982522790794484,0.0422154027751165,0.01,0.0052143111111881395
2.7e-05,0.9957780958842365,0.043704686166780214,0.01,0.00522236782648917
2.8e-05,1.0021364299749862,0.03674042974401435,0.01,0.005230410978296427
2.9e-05,1.0021732193102257,0.05411302537771652,0.01,0.0052384405894440765
2.9999999999999997e-05,1.0211783875505105,0.044182908392348196,0.01,0.0052464566827278404
3.1e-05,0.9888797923730772,0.051834207334266025,0.01,0.005254459280905066
3.2e-05,0.99622394992873,0.04421240957129731,0.01,0.005262448406694788
3.2999999999999996e-05,1.0204277160749233,0.05692606732521075,0.01,0.005270424082777793
3.4e-05,1.0064670299620184,0.05676812212860792,0.01,0.005278386331796686
3.5e-05,1.0066306337237627,0.05396301828531049,0.01,0.005286335176355951
3.6e-05,0.9948599362831254,0.05790261380970921,0.01,0.005294270639022019
3.7e-05,0.9835192482914434,0.050804765610253905,0.01,0.0053021927423233285
3.7999999999999995e-05,1.0016746474422273,0.06191206244829825,0.01,0.005310101508750394
3.9e-05,1.0010901408782156,0.06070380930967912,0.01,0.005317996960755864
3.9999999999999996e-05,0.9877264794575542,0.08104132365995186,0.01,0.005325879120754592
4.1e-05,0.9931677333821943,0.054567068378963704,0.01,0.0053337480111236915
4.2e-05,0.9992795632027277,0.0685651232801421,0.01,0.005341603654202608
4.2999999999999995e-05,0.9905524837693922,0.06825694944074927,0.01,0.005349446072293176
4.4e-05,0.9990173003214778,0.07378478050854614,0.01,0.005357275287659686
4.4999999999999996e-05,1.0009548302746945,0.07646499873792385,0.01,0.005365091322528945
4.6e-05,1.0003558623705548,0.08331242324375215,0.01,0.0053728941990903445
4.7e-05,0.9949370834168568,0.07139417156904052,0.01,0.005380683939495917
4.8e-05,1.0059374807178583,0.08377293158978608,0.01,0.005388460565860401
4.9e-05,1.0089116695428233,0.08362228178130524,0.01,0.00539622410026131
4.9999999999999996e-05,1.0032084830456656,0.08374280455740202,0.01,0.0054039745647389845
5.1e-05,0.991817697726097,0.09792682136584023,0.01,0.005411711981296663
5.2e-05,1.0073165228378544,0.0867821048108387,0.01,0.0054194363719005404
5.3e-05,0.9949855998153295,0.08806920297586472,0.01,0.005427147758479833
5.4e-05,1.0087916061828799,0.08603242882087786,0.01,0.005434846162926836
5.4999999999999995e-05,0.9892821258312255,0.08602396457495434,0.01,0.005442531607096993
5.6e-05,1.0091446720312878,0.08435299289659468,0.01,0.005450204112808952
5.6999999999999996e-05,0.9997993654538452,0.09383286128336286,0.01,0.005457863701844626
5.8e-05,0.9875125110966558,0.0939061060710694,0.01,0.005465510395949265
5.9e-05,0.9968610052803315,0.09123493914500075,0.01,0.005473144216831505
5.9999999999999995e-05,1.0005410227877154,0.0939191221622545,0.01,0.005480765186163439
